2022-03-14 19:06:43 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-03-14 19:06:43 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-03-14 19:06:43 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:43 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-03-14 19:06:44 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-03-14 19:06:44 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 upgrade libexpat1:amd64 2.2.10-2+deb11u2 2.2.10-2+deb11u3
2022-03-14 19:06:44 status half-configured libexpat1:amd64 2.2.10-2+deb11u2
2022-03-14 19:06:44 status unpacked libexpat1:amd64 2.2.10-2+deb11u2
2022-03-14 19:06:44 status half-installed libexpat1:amd64 2.2.10-2+deb11u2
2022-03-14 19:06:44 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:44 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-03-14 19:06:44 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 startup packages configure
2022-03-14 19:06:44 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-03-14 19:06:44 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-03-14 19:06:44 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:44 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:44 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-03-14 19:06:44 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-03-14 19:06:44 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 status installed python3.9-minimal:amd64 3.9.2-1
2022-03-14 19:06:44 startup archives unpack
2022-03-14 19:06:45 install python3-minimal:amd64 <none> 3.9.2-3
2022-03-14 19:06:45 status half-installed python3-minimal:amd64 3.9.2-3
2022-03-14 19:06:45 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-14 19:06:45 install media-types:all <none> 4.0.0
2022-03-14 19:06:45 status half-installed media-types:all 4.0.0
2022-03-14 19:06:45 status unpacked media-types:all 4.0.0
2022-03-14 19:06:45 install libmpdec3:amd64 <none> 2.5.1-1
2022-03-14 19:06:45 status half-installed libmpdec3:amd64 2.5.1-1
2022-03-14 19:06:45 status unpacked libmpdec3:amd64 2.5.1-1
2022-03-14 19:06:45 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-03-14 19:06:45 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-03-14 19:06:45 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-03-14 19:06:45 install readline-common:all <none> 8.1-1
2022-03-14 19:06:45 status half-installed readline-common:all 8.1-1
2022-03-14 19:06:45 status unpacked readline-common:all 8.1-1
2022-03-14 19:06:45 install libreadline8:amd64 <none> 8.1-1
2022-03-14 19:06:45 status half-installed libreadline8:amd64 8.1-1
2022-03-14 19:06:45 status unpacked libreadline8:amd64 8.1-1
2022-03-14 19:06:45 install libsqlite3-0:amd64 <none> 3.34.1-3
